topo_type,num_nodes,packet_loss_prob,protocol,num_runs,mean_success_rate,std_success_rate,mean_avg_hops,mean_avg_link_fidelity,mean_avg_decoherence_factor,mean_avg_e2e_fidelity,std_avg_e2e_fidelity,mean_min_e2e_fidelity,mean_max_e2e_fidelity,mean_avg_total_delay_ms,mean_recovery_used
ErdosRenyi,8,0.000000,Dijkstra,30,78.777778,20.853132,1.850474,0.867388,0.781129,0.690494,0.095495,0.271683,0.968480,52.595074,0.000000
ErdosRenyi,8,0.000000,QCAST,30,78.777778,20.853132,1.855196,0.865159,0.779427,0.687709,0.093836,0.263538,0.968480,52.986139,0.000000
ErdosRenyi,8,0.050000,Dijkstra,30,71.111111,21.286827,1.794516,0.870547,0.795767,0.705754,0.106546,0.308336,0.967788,50.483757,0.000000
ErdosRenyi,8,0.050000,QCAST,30,74.111111,22.209096,1.840499,0.862121,0.783335,0.690331,0.105866,0.273363,0.967788,52.115942,0.933333
ErdosRenyi,8,0.100000,Dijkstra,30,66.555556,19.816850,1.768882,0.872288,0.801511,0.711756,0.106792,0.324637,0.967042,49.723881,0.000000
ErdosRenyi,8,0.100000,QCAST,30,70.222222,21.476769,1.830397,0.859904,0.784624,0.691044,0.108969,0.265552,0.967042,51.769838,1.266667
ErdosRenyi,8,0.150000,Dijkstra,30,62.111111,21.343448,1.742804,0.874027,0.809034,0.719586,0.111191,0.342896,0.963984,49.108482,0.000000
ErdosRenyi,8,0.150000,QCAST,30,64.888889,22.805749,1.791998,0.865629,0.795716,0.703835,0.112642,0.291678,0.963984,50.731401,1.000000
ErdosRenyi,8,0.200000,Dijkstra,30,56.000000,19.266233,1.709732,0.875442,0.817420,0.728122,0.114284,0.360989,0.961770,48.469652,0.000000
ErdosRenyi,8,0.200000,QCAST,30,59.888889,21.235468,1.770500,0.864695,0.800539,0.707310,0.115206,0.296439,0.961770,50.480360,1.366667
ErdosRenyi,8,0.250000,Dijkstra,30,47.444444,21.021488,1.619488,0.879855,0.842698,0.754193,0.120431,0.402506,0.959732,45.570746,0.000000
ErdosRenyi,8,0.250000,QCAST,30,50.222222,22.876201,1.667135,0.870602,0.830595,0.737596,0.118358,0.350166,0.959732,47.234606,1.100000
ErdosRenyi,8,0.300000,Dijkstra,30,41.111111,20.367003,1.493643,0.857189,0.865607,0.748467,0.181856,0.480521,0.929606,42.843038,0.000000
ErdosRenyi,8,0.300000,QCAST,30,44.000000,21.591825,1.547478,0.849111,0.850728,0.729415,0.176968,0.423995,0.929606,44.800176,1.033333
ErdosRenyi,12,0.000000,Dijkstra,30,97.000000,7.991854,1.883949,0.867943,0.773235,0.681742,0.097047,0.280390,0.980072,53.196908,0.000000
ErdosRenyi,12,0.000000,QCAST,30,97.000000,7.991854,1.904248,0.859695,0.768435,0.672469,0.091726,0.238933,0.980072,53.671877,0.000000
ErdosRenyi,12,0.050000,Dijkstra,30,89.888889,11.954041,1.873581,0.868348,0.775294,0.683913,0.097253,0.282202,0.980072,52.985236,0.000000
ErdosRenyi,12,0.050000,QCAST,30,94.666667,8.514131,1.961367,0.854464,0.753808,0.657505,0.099305,0.209751,0.980072,55.398912,1.533333
ErdosRenyi,12,0.100000,Dijkstra,30,83.222222,14.764650,1.839597,0.870930,0.781301,0.690559,0.090844,0.295806,0.979249,52.311610,0.000000
ErdosRenyi,12,0.100000,QCAST,30,92.111111,10.037605,1.980288,0.846946,0.745053,0.646354,0.106655,0.184498,0.979249,56.061257,2.833333
ErdosRenyi,12,0.150000,Dijkstra,30,73.333333,15.756772,1.757863,0.876988,0.800268,0.710629,0.085067,0.316039,0.979024,50.384663,0.000000
ErdosRenyi,12,0.150000,QCAST,30,85.666667,13.164157,1.960835,0.846424,0.747216,0.648461,0.097456,0.165484,0.979024,55.331715,3.933333
ErdosRenyi,12,0.200000,Dijkstra,30,67.555556,14.646102,1.735531,0.876934,0.805699,0.715276,0.086329,0.326095,0.978878,49.759676,0.000000
ErdosRenyi,12,0.200000,QCAST,30,81.666667,12.798168,1.977548,0.840839,0.741465,0.640992,0.102173,0.155002,0.978878,55.945777,4.433333
ErdosRenyi,12,0.250000,Dijkstra,30,62.444444,16.163279,1.726952,0.877877,0.807046,0.717235,0.087765,0.331689,0.977145,49.648210,0.000000
ErdosRenyi,12,0.250000,QCAST,30,77.222222,14.650025,1.986905,0.842757,0.738391,0.639088,0.100849,0.163481,0.977145,56.484361,4.766667
ErdosRenyi,12,0.300000,Dijkstra,30,55.333333,17.629651,1.654828,0.883996,0.825722,0.737841,0.094541,0.386050,0.977027,47.692811,0.000000
ErdosRenyi,12,0.300000,QCAST,30,69.888889,17.992832,1.931027,0.847527,0.753548,0.655162,0.112269,0.196904,0.977027,54.947293,4.666667
ErdosRenyi,20,0.000000,Dijkstra,30,100.000000,0.000000,1.690000,0.887594,0.830530,0.741759,0.043111,0.351421,0.980745,46.646260,0.000000
ErdosRenyi,20,0.000000,QCAST,30,100.000000,0.000000,1.732222,0.871624,0.815312,0.718539,0.045036,0.279909,0.980745,48.162244,0.000000
ErdosRenyi,20,0.050000,Dijkstra,30,92.000000,7.355244,1.666040,0.888123,0.837839,0.748559,0.044693,0.382567,0.980713,45.794700,0.000000
ErdosRenyi,20,0.050000,QCAST,30,97.666667,3.051286,1.750309,0.870173,0.811837,0.714181,0.049359,0.287818,0.980713,48.523714,1.666667
ErdosRenyi,20,0.100000,Dijkstra,30,85.000000,7.568335,1.656644,0.888439,0.840072,0.750759,0.043532,0.383358,0.980540,45.499399,0.000000
ErdosRenyi,20,0.100000,QCAST,30,94.555556,5.065346,1.764692,0.867717,0.807999,0.708850,0.048355,0.277651,0.980540,48.796713,2.766667
ErdosRenyi,20,0.150000,Dijkstra,30,75.777778,11.070424,1.616511,0.892192,0.851708,0.763995,0.047421,0.416213,0.978799,44.027065,0.000000
ErdosRenyi,20,0.150000,QCAST,30,89.777778,7.678069,1.765640,0.861370,0.808138,0.705252,0.052643,0.250570,0.978799,48.499001,4.066667
ErdosRenyi,20,0.200000,Dijkstra,30,67.444444,10.271537,1.607028,0.891583,0.854050,0.765721,0.050659,0.440059,0.977434,43.888267,0.000000
ErdosRenyi,20,0.200000,QCAST,30,81.777778,9.169888,1.762153,0.856137,0.808340,0.701033,0.053724,0.241476,0.977434,48.437356,4.366667
ErdosRenyi,20,0.250000,Dijkstra,30,60.666667,10.186009,1.590422,0.893165,0.856217,0.769214,0.057284,0.451439,0.976449,43.679788,0.000000
ErdosRenyi,20,0.250000,QCAST,30,76.000000,9.605235,1.759094,0.855930,0.808334,0.700759,0.062347,0.249151,0.976449,48.576980,4.633333
ErdosRenyi,20,0.300000,Dijkstra,30,52.888889,9.776559,1.560606,0.894576,0.863579,0.776865,0.062201,0.463895,0.975276,42.723231,0.000000
ErdosRenyi,20,0.300000,QCAST,30,68.000000,9.411821,1.742728,0.852263,0.815098,0.702797,0.058722,0.244280,0.975276,47.755003,4.633333
ErdosRenyi,30,0.000000,Dijkstra,30,100.000000,0.000000,1.666667,0.892819,0.841521,0.753561,0.034586,0.465629,0.977835,45.862747,0.000000
ErdosRenyi,30,0.000000,QCAST,30,100.000000,0.000000,1.714444,0.870777,0.831136,0.729491,0.041601,0.326197,0.977835,47.101223,0.000000
ErdosRenyi,30,0.050000,Dijkstra,30,93.222222,5.140429,1.656734,0.893074,0.844853,0.756765,0.035845,0.480108,0.974790,45.433996,0.000000
ErdosRenyi,30,0.050000,QCAST,30,97.444444,3.238103,1.719761,0.869929,0.831075,0.728678,0.041925,0.334454,0.974790,47.062073,1.300000
ErdosRenyi,30,0.100000,Dijkstra,30,86.888889,6.428703,1.643694,0.893494,0.849255,0.761106,0.035618,0.492751,0.974742,44.869571,0.000000
ErdosRenyi,30,0.100000,QCAST,30,94.777778,3.575495,1.725427,0.870091,0.830191,0.728025,0.041278,0.347945,0.974742,47.140382,2.733333
ErdosRenyi,30,0.150000,Dijkstra,30,79.444444,8.625158,1.627614,0.894250,0.853695,0.765716,0.035187,0.502764,0.974742,44.123149,0.000000
ErdosRenyi,30,0.150000,QCAST,30,90.555556,5.472560,1.728500,0.867993,0.829077,0.725687,0.041634,0.342867,0.974742,47.108212,3.633333
ErdosRenyi,30,0.200000,Dijkstra,30,73.666667,9.482793,1.620407,0.894937,0.854847,0.767393,0.040299,0.518999,0.974066,43.964266,0.000000
ErdosRenyi,30,0.200000,QCAST,30,85.777778,6.605080,1.730433,0.866762,0.829313,0.724857,0.044211,0.336714,0.974066,46.959369,4.033333
ErdosRenyi,30,0.250000,Dijkstra,30,67.222222,10.323627,1.600923,0.896032,0.860431,0.773389,0.043416,0.533533,0.973696,43.031343,0.000000
ErdosRenyi,30,0.250000,QCAST,30,80.888889,8.067404,1.721437,0.868512,0.830560,0.727375,0.044461,0.344449,0.973696,46.670207,4.766667
ErdosRenyi,30,0.300000,Dijkstra,30,60.222222,9.052141,1.601212,0.895714,0.857883,0.770887,0.044088,0.534735,0.970291,43.410754,0.000000
ErdosRenyi,30,0.300000,QCAST,30,73.000000,9.237190,1.715330,0.866719,0.830463,0.725756,0.051705,0.334495,0.970291,46.867684,4.433333
RandomGeometric,8,0.000000,Dijkstra,30,60.222222,28.337503,1.487966,0.895127,0.872417,0.790573,0.107610,0.448290,0.978606,41.846051,0.000000
RandomGeometric,8,0.000000,QCAST,30,60.222222,28.337503,1.490188,0.894281,0.871388,0.789114,0.107328,0.447353,0.978606,41.912569,0.000000
RandomGeometric,8,0.050000,Dijkstra,30,54.666667,28.278852,1.457883,0.892122,0.880838,0.795423,0.110493,0.479581,0.975872,40.901925,0.000000
RandomGeometric,8,0.050000,QCAST,30,56.222222,28.049400,1.498124,0.886372,0.871968,0.783611,0.109524,0.432360,0.975872,41.658252,0.400000
RandomGeometric,8,0.100000,Dijkstra,30,50.555556,27.376799,1.413353,0.894300,0.893306,0.807464,0.100509,0.496995,0.975703,39.748784,0.000000
RandomGeometric,8,0.100000,QCAST,30,52.111111,27.840313,1.453592,0.890069,0.883829,0.796656,0.102757,0.462656,0.975703,40.670214,0.400000
RandomGeometric,8,0.150000,Dijkstra,30,46.777778,26.442786,1.354570,0.898776,0.907053,0.822310,0.094801,0.534875,0.974883,38.484860,0.000000
RandomGeometric,8,0.150000,QCAST,30,48.888889,27.741739,1.398063,0.892844,0.896895,0.809495,0.100418,0.498028,0.974883,39.437232,0.566667
RandomGeometric,8,0.200000,Dijkstra,30,42.666667,23.738679,1.325959,0.902313,0.914720,0.831698,0.088389,0.558784,0.974883,37.910042,0.000000
RandomGeometric,8,0.200000,QCAST,30,45.444444,26.572871,1.361930,0.893124,0.906156,0.817788,0.097966,0.513435,0.974883,38.530402,0.833333
RandomGeometric,8,0.250000,Dijkstra,30,38.888889,23.930508,1.283143,0.903052,0.925956,0.842313,0.095222,0.598776,0.971426,36.592326,0.000000
RandomGeometric,8,0.250000,QCAST,30,41.666667,24.955900,1.342750,0.894109,0.913067,0.823915,0.097646,0.551512,0.971426,37.680369,0.833333
RandomGeometric,8,0.300000,Dijkstra,30,33.666667,21.124517,1.251494,0.905888,0.933551,0.851575,0.093818,0.627944,0.967103,35.206043,0.000000
RandomGeometric,8,0.300000,QCAST,30,36.222222,22.788942,1.308702,0.894892,0.922884,0.832995,0.096928,0.572053,0.967103,36.066739,0.766667
RandomGeometric,12,0.000000,Dijkstra,30,64.333333,25.643444,2.046487,0.846004,0.718918,0.633604,0.162315,0.226470,0.970537,61.620308,0.000000
RandomGeometric,12,0.000000,QCAST,30,64.333333,25.643444,2.068858,0.841252,0.712461,0.626312,0.162094,0.218523,0.970537,62.663942,0.000000
RandomGeometric,12,0.050000,Dijkstra,30,59.222222,23.743252,2.011757,0.847488,0.726042,0.639811,0.154771,0.234341,0.970381,60.657985,0.000000
RandomGeometric,12,0.050000,QCAST,30,60.555556,24.449233,2.050471,0.843490,0.715134,0.628825,0.157580,0.218110,0.970381,62.219872,0.466667
RandomGeometric,12,0.100000,Dijkstra,30,54.666667,22.086559,1.937808,0.852223,0.744779,0.656401,0.151416,0.267854,0.969985,57.992363,0.000000
RandomGeometric,12,0.100000,QCAST,30,56.777778,22.835130,1.999193,0.847222,0.726872,0.638737,0.148662,0.224728,0.969985,60.240509,0.566667
RandomGeometric,12,0.150000,Dijkstra,30,50.333333,22.782496,1.910048,0.852878,0.753589,0.664076,0.158057,0.298556,0.966917,56.582540,0.000000
RandomGeometric,12,0.150000,QCAST,30,53.666667,23.281552,1.989980,0.842557,0.729759,0.636948,0.151329,0.234584,0.966917,59.767870,0.866667
