run_id,topo_type,num_nodes,packet_loss_prob,protocol,requests_sent,requests_succeeded,requests_failed,no_route,success_rate,avg_hops,avg_link_fidelity,avg_decoherence_factor,avg_e2e_fidelity,min_e2e_fidelity,max_e2e_fidelity,avg_total_delay_ms,recovery_paths_used,avg_recovery_per_success
1,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.100000,0.841340,0.653855,0.562801,0.199663,0.937586,77.025553,0,0.000000
1,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.100000,0.841340,0.653855,0.562801,0.199663,0.937586,77.025553,0,0.000000
2,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.066667,0.848658,0.721625,0.630445,0.093500,0.940525,56.591780,0,0.000000
2,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.066667,0.848658,0.721625,0.630445,0.093500,0.940525,56.591780,0,0.000000
3,ErdosRenyi,8,0.000000,Dijkstra,30,17,13,13,56.666667,1.705882,0.882397,0.808860,0.718470,0.271998,0.972845,45.591506,0,0.000000
3,ErdosRenyi,8,0.000000,QCAST,30,17,13,13,56.666667,1.705882,0.882397,0.808860,0.718470,0.271998,0.972845,45.591506,0,0.000000
4,ErdosRenyi,8,0.000000,Dijkstra,30,22,8,8,73.333333,1.727273,0.867815,0.812275,0.715350,0.208282,0.985296,42.726661,0,0.000000
4,ErdosRenyi,8,0.000000,QCAST,30,22,8,8,73.333333,1.727273,0.867815,0.812275,0.715350,0.208282,0.985296,42.726661,0,0.000000
5,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.900000,0.914483,0.760143,0.704026,0.167649,0.982518,54.165078,0,0.000000
5,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.900000,0.909936,0.759824,0.701793,0.168353,0.982518,53.833826,0,0.000000
6,ErdosRenyi,8,0.000000,Dijkstra,30,20,10,10,66.666667,2.550000,0.769444,0.606946,0.498439,0.059934,0.931601,73.609123,0,0.000000
6,ErdosRenyi,8,0.000000,QCAST,30,20,10,10,66.666667,2.550000,0.769444,0.606946,0.498439,0.059934,0.931601,73.609123,0,0.000000
7,ErdosRenyi,8,0.000000,Dijkstra,30,18,12,12,60.000000,1.611111,0.909357,0.794127,0.729646,0.239267,0.980172,62.784308,0,0.000000
7,ErdosRenyi,8,0.000000,QCAST,30,18,12,12,60.000000,1.611111,0.909357,0.794127,0.729646,0.239267,0.980172,62.784308,0,0.000000
8,ErdosRenyi,8,0.000000,Dijkstra,30,24,6,6,80.000000,2.000000,0.915263,0.694003,0.648053,0.070404,0.991029,67.065066,0,0.000000
8,ErdosRenyi,8,0.000000,QCAST,30,24,6,6,80.000000,2.000000,0.909330,0.690288,0.640611,0.070404,0.991029,67.926986,0,0.000000
9,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.066667,0.846841,0.784912,0.676115,0.155542,0.973141,41.839125,0,0.000000
9,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.066667,0.846841,0.784912,0.676115,0.155542,0.973141,41.839125,0,0.000000
10,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.833333,0.885012,0.812272,0.725255,0.363048,0.959003,45.431358,0,0.000000
10,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.833333,0.885012,0.812272,0.725255,0.363048,0.959003,45.431358,0,0.000000
11,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.100000,0.909361,0.664361,0.610337,0.115799,0.986044,64.111417,0,0.000000
11,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.100000,0.909361,0.664361,0.610337,0.115799,0.986044,64.111417,0,0.000000
12,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.066667,0.843837,0.761637,0.654058,0.112146,0.983410,50.439168,0,0.000000
12,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.066667,0.843837,0.761637,0.654058,0.112146,0.983410,50.439168,0,0.000000
13,ErdosRenyi,8,0.000000,Dijkstra,30,15,15,15,50.000000,1.733333,0.826367,0.813401,0.690072,0.236668,0.927502,37.801709,0,0.000000
13,ErdosRenyi,8,0.000000,QCAST,30,15,15,15,50.000000,1.733333,0.826367,0.813401,0.690072,0.236668,0.927502,37.801709,0,0.000000
14,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,2.133333,0.838684,0.688857,0.597924,0.202975,0.968691,60.639602,0,0.000000
14,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,2.133333,0.838684,0.688857,0.597924,0.202975,0.968691,60.639602,0,0.000000
15,ErdosRenyi,8,0.000000,Dijkstra,30,13,17,17,43.333333,2.307692,0.792849,0.658660,0.533820,0.280017,0.972217,60.131784,0,0.000000
15,ErdosRenyi,8,0.000000,QCAST,30,13,17,17,43.333333,2.307692,0.792849,0.658660,0.533820,0.280017,0.972217,60.131784,0,0.000000
16,ErdosRenyi,8,0.000000,Dijkstra,30,21,9,9,70.000000,1.142857,0.931947,0.961950,0.898516,0.610266,0.994828,27.047875,0,0.000000
16,ErdosRenyi,8,0.000000,QCAST,30,21,9,9,70.000000,1.142857,0.931947,0.961950,0.898516,0.610266,0.994828,27.047875,0,0.000000
17,ErdosRenyi,8,0.000000,Dijkstra,30,20,10,10,66.666667,1.450000,0.902683,0.891769,0.809314,0.458485,0.987157,39.321994,0,0.000000
17,ErdosRenyi,8,0.000000,QCAST,30,20,10,10,66.666667,1.450000,0.882746,0.876548,0.781974,0.458485,0.987157,44.108303,0,0.000000
18,ErdosRenyi,8,0.000000,Dijkstra,30,19,11,11,63.333333,2.105263,0.858477,0.698658,0.628989,0.018696,0.965818,73.243799,0,0.000000
18,ErdosRenyi,8,0.000000,QCAST,30,19,11,11,63.333333,2.105263,0.858477,0.698658,0.628989,0.018696,0.965818,73.243799,0,0.000000
19,ErdosRenyi,8,0.000000,Dijkstra,30,24,6,6,80.000000,2.291667,0.821952,0.666692,0.564616,0.117992,0.947742,71.129531,0,0.000000
19,ErdosRenyi,8,0.000000,QCAST,30,24,6,6,80.000000,2.291667,0.821952,0.666692,0.564616,0.117992,0.947742,71.129531,0,0.000000
20,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.700000,0.903898,0.814958,0.744055,0.286127,0.994044,47.611211,0,0.000000
