run_id,topo_type,num_nodes,packet_loss_prob,protocol,requests_sent,requests_succeeded,requests_failed,no_route,success_rate,avg_hops,avg_link_fidelity,avg_decoherence_factor,avg_e2e_fidelity,min_e2e_fidelity,max_e2e_fidelity,avg_total_delay_ms,recovery_paths_used,avg_recovery_per_success
1,RandomGeometric,8,0.000000,Dijkstra,30,21,9,9,70.000000,1.285714,0.908372,0.914450,0.837137,0.275008,0.986813,40.823500,0,0.000000
1,RandomGeometric,8,0.000000,QCAST,30,21,9,9,70.000000,1.285714,0.902170,0.916193,0.834128,0.275008,0.986813,39.139163,0,0.000000
2,RandomGeometric,8,0.000000,Dijkstra,30,28,2,2,93.333333,1.785714,0.864541,0.805045,0.706404,0.266072,0.983403,50.045928,0,0.000000
2,RandomGeometric,8,0.000000,QCAST,30,28,2,2,93.333333,1.785714,0.864541,0.805045,0.706404,0.266072,0.983403,50.045928,0,0.000000
3,RandomGeometric,8,0.000000,Dijkstra,30,8,22,22,26.666667,1.000000,0.948243,1.000000,0.948243,0.865950,0.980721,24.713357,0,0.000000
3,RandomGeometric,8,0.000000,QCAST,30,8,22,22,26.666667,1.000000,0.948243,1.000000,0.948243,0.865950,0.980721,24.713357,0,0.000000
4,RandomGeometric,8,0.000000,Dijkstra,30,18,12,12,60.000000,1.722222,0.892982,0.783904,0.704390,0.254288,0.994531,53.872330,0,0.000000
4,RandomGeometric,8,0.000000,QCAST,30,18,12,12,60.000000,1.722222,0.892982,0.783904,0.704390,0.254288,0.994531,53.872330,0,0.000000
5,RandomGeometric,8,0.000000,Dijkstra,30,4,26,26,13.333333,1.000000,0.902443,1.000000,0.902443,0.855172,0.930619,32.837517,0,0.000000
5,RandomGeometric,8,0.000000,QCAST,30,4,26,26,13.333333,1.000000,0.902443,1.000000,0.902443,0.855172,0.930619,32.837517,0,0.000000
6,RandomGeometric,8,0.000000,Dijkstra,30,18,12,12,60.000000,1.388889,0.877837,0.916590,0.806030,0.632118,0.972962,33.918735,0,0.000000
6,RandomGeometric,8,0.000000,QCAST,30,18,12,12,60.000000,1.388889,0.877837,0.916590,0.806030,0.632118,0.972962,33.918735,0,0.000000
7,RandomGeometric,8,0.000000,Dijkstra,30,21,9,9,70.000000,1.714286,0.845797,0.770113,0.672957,0.170165,0.983179,55.690376,0,0.000000
