run_id,topo_type,num_nodes,packet_loss_prob,protocol,requests_sent,requests_succeeded,requests_failed,no_route,success_rate,avg_hops,avg_link_fidelity,avg_decoherence_factor,avg_e2e_fidelity,min_e2e_fidelity,max_e2e_fidelity,avg_total_delay_ms,recovery_paths_used,avg_recovery_per_success
1,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.633333,0.873056,0.835118,0.731081,0.494218,0.932125,52.869805,0,0.000000
1,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.633333,0.855489,0.849025,0.729509,0.465197,0.932125,50.711934,0,0.000000
2,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.400000,0.913228,0.906565,0.829837,0.549844,0.983403,35.681147,0,0.000000
2,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.400000,0.913228,0.906565,0.829837,0.549844,0.983403,35.681147,0,0.000000
3,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.666667,0.888342,0.816180,0.730192,0.278169,0.993509,44.567928,0,0.000000
3,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.800000,0.895349,0.780484,0.704369,0.278169,0.993509,47.982865,0,0.000000
4,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.633333,0.871320,0.863858,0.756810,0.306844,0.985296,37.746349,0,0.000000
4,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.633333,0.864683,0.875518,0.760743,0.306844,0.985296,36.076548,0,0.000000
5,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.500000,0.900866,0.863356,0.780977,0.467075,0.988304,45.258660,0,0.000000
5,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.500000,0.883485,0.856333,0.763149,0.467075,0.988304,46.629818,0,0.000000
6,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.866667,0.884533,0.765667,0.686259,0.286931,0.990612,53.395211,0,0.000000
6,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.933333,0.884960,0.739468,0.664574,0.277159,0.990612,56.408385,0,0.000000
7,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.600000,0.889817,0.805894,0.721339,0.240836,0.978550,52.160803,0,0.000000
7,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.666667,0.847630,0.798390,0.689900,0.168877,0.978550,56.486249,0,0.000000
8,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.566667,0.860292,0.904661,0.782760,0.306782,0.976562,32.187118,0,0.000000
8,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.566667,0.858585,0.893997,0.772546,0.306782,0.976562,33.346520,0,0.000000
9,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.733333,0.904289,0.862482,0.783769,0.322366,0.993391,32.169647,0,0.000000
9,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.833333,0.911882,0.838348,0.770138,0.283169,0.993391,35.597804,0,0.000000
10,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.766667,0.902397,0.825020,0.750151,0.361559,0.991446,43.188328,0,0.000000
10,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.766667,0.897779,0.823303,0.746226,0.409651,0.991446,42.507111,0,0.000000
11,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.733333,0.887717,0.786151,0.703589,0.267584,0.993592,56.359999,0,0.000000
11,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.733333,0.875121,0.791823,0.701025,0.249090,0.993592,54.646275,0,0.000000
12,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.533333,0.911263,0.883862,0.808227,0.530217,0.980367,40.895971,0,0.000000
12,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.533333,0.896770,0.890372,0.803849,0.495516,0.980367,41.953944,0,0.000000
13,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.566667,0.888447,0.856051,0.765679,0.500561,0.990977,41.455257,0,0.000000
13,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.566667,0.875056,0.854954,0.752962,0.500561,0.990977,41.719610,0,0.000000
14,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.633333,0.888620,0.863088,0.770542,0.476416,0.987020,33.165899,0,0.000000
14,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.733333,0.871140,0.849489,0.745260,0.436014,0.987020,34.382490,0,0.000000
15,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.600000,0.904196,0.869226,0.788334,0.498321,0.982468,42.883809,0,0.000000
15,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.600000,0.904196,0.869226,0.788334,0.498321,0.982468,42.883809,0,0.000000
16,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.566667,0.850670,0.871499,0.746603,0.570381,0.969270,39.977487,0,0.000000
16,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.566667,0.850670,0.871499,0.746603,0.570381,0.969270,39.977487,0,0.000000
17,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.733333,0.874368,0.817135,0.721439,0.327622,0.988696,43.327567,0,0.000000
17,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.733333,0.865982,0.818628,0.718474,0.280694,0.988696,44.339589,0,0.000000
18,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.600000,0.878173,0.825904,0.730515,0.499161,0.987696,56.863299,0,0.000000
18,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.600000,0.877712,0.827708,0.731631,0.499161,0.987696,56.285777,0,0.000000
19,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.633333,0.884997,0.840455,0.746481,0.223727,0.987616,45.967297,0,0.000000
19,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.633333,0.869862,0.870533,0.762031,0.439676,0.987616,38.576050,0,0.000000
20,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.700000,0.913995,0.844679,0.773733,0.319457,0.991442,43.886102,0,0.000000
20,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.800000,0.892766,0.789245,0.708410,0.088443,0.991442,52.212450,0,0.000000
21,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.500000,0.888377,0.871909,0.781726,0.297712,0.982090,37.817340,0,0.000000
21,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.500000,0.877386,0.880741,0.783010,0.327163,0.982090,35.121331,0,0.000000
22,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.700000,0.877795,0.858265,0.762657,0.362290,0.985514,38.515627,0,0.000000
